invoice_no	fan	radiator	engine	temp	starts	low_oil	oil_light
542	1	1	0	0	1	0	1
543	0	1	1	0	1	0	1
544	1	0	1	0	1	0	1
545	0	1	1	0	1	0	1
546	1	1	0	1	1	1	0
547	0	1	1	0	1	0	1
548	1	1	0	0	1	0	1
549	1	1	0	1	1	1	0
550	1	0	1	0	1	0	1
551	0	0	1	0	0	0	1
552	1	0	0	1	1	0	1
553	1	1	1	0	1	1	0
554	1	1	0	1	1	0	0
555	0	1	1	0	0	0	1
556	1	1	0	1	1	1	1
557	0	1	1	0	1	0	1
558	1	1	0	0	1	0	1
559	1	0	1	1	1	0	1
560	1	1	0	1	0	1	0
561	0	1	1	1	1	0	0
562	1	0	0	0	1	0	1
563	0	1	0	0	1	0	0
564	0	1	1	1	1	0	0
565	1	1	0	1	1	1	0
566	1	1	0	1	1	1	0
567	0	1	1	0	0	0	0
568	0	1	0	0	1	0	1
569	1	1	0	1	1	0	1
570	1	1	0	1	1	0	1
571	1	1	0	1	1	0	0
572	1	1	0	1	1	0	1
573	0	1	1	0	1	1	0
574	1	1	0	1	1	0	1
575	1	1	0	0	1	0	0
576	1	1	0	0	1	0	1
577	0	1	1	0	1	0	1
578	1	0	1	0	1	1	0
579	1	1	0	0	1	1	0
580	1	1	1	0	1	0	1
581	1	1	0	0	0	1	0
582	1	0	1	0	1	1	0
583	1	0	0	1	0	0	1
584	1	1	0	1	1	0	1
585	1	1	0	0	1	0	0
586	1	1	0	1	0	0	1
587	1	1	0	1	1	1	0
588	1	1	0	1	1	1	0
589	0	1	1	0	0	0	1
590	0	1	1	0	0	1	0
591	1	1	0	0	1	0	1
592	1	1	0	1	1	0	1
593	1	1	1	0	1	0	1
594	0	1	0	1	1	1	1
595	1	1	0	1	1	0	1
596	1	0	0	0	1	1	0
597	1	1	0	1	1	0	1
598	1	1	0	1	1	0	1
599	1	1	0	0	1	0	0
600	1	1	1	0	1	1	0
601	1	1	0	0	1	1	0
602	0	1	1	0	1	0	1
603	1	1	0	1	1	0	1
604	1	1	0	0	1	1	0
605	1	1	0	1	0	0	1
606	0	1	1	1	0	0	0
607	1	1	0	0	1	0	1
608	1	1	0	1	1	0	1
609	0	1	1	0	0	0	1
610	1	1	1	0	1	1	0
611	1	1	0	0	0	0	1
612	1	1	0	0	1	0	0
613	1	1	0	1	0	1	0
614	1	0	0	0	1	0	1
615	0	1	1	0	1	0	1
616	1	1	0	0	1	0	1
617	1	1	0	0	1	1	0
618	1	1	0	0	1	1	0
619	1	1	0	0	1	0	0
620	1	1	0	1	1	0	0
621	1	0	1	0	1	0	0
622	1	1	0	1	1	1	0
623	1	1	0	1	1	0	1
624	1	1	0	1	1	0	1
625	1	1	0	1	1	1	0
626	0	1	0	0	1	0	1
627	0	1	1	0	1	0	1
628	1	1	0	1	1	0	1
629	1	1	0	1	0	1	0
630	1	1	0	1	0	1	0
631	1	1	1	0	1	1	1
632	1	1	0	1	1	0	1
633	1	0	1	0	0	0	1
634	1	0	1	1	0	1	0
635	1	0	0	1	1	1	0
636	0	1	0	0	1	1	0
637	1	0	0	1	1	0	1
638	1	1	0	1	1	0	1
639	1	1	1	0	1	0	0
640	1	1	1	0	0	0	1
641	0	0	1	0	0	0	1
642	1	1	0	1	1	1	0
643	1	1	0	1	1	1	0
644	1	1	0	0	0	0	1
645	1	1	0	1	1	0	1
646	1	1	0	0	1	1	0
647	1	1	0	0	1	0	1
648	1	1	0	1	1	0	1
649	0	1	1	0	1	0	1
650	1	1	0	0	0	0	1
651	1	0	1	0	0	1	1
652	1	1	0	1	1	0	1
653	1	0	1	0	1	1	0
654	1	1	0	1	1	0	0
655	0	1	1	0	1	0	0
656	1	1	0	1	1	0	1
657	1	1	1	0	1	0	0
658	1	1	0	0	1	0	1
659	1	1	0	0	1	0	0
660	0	1	1	0	1	1	0
661	1	1	0	1	1	0	1
662	1	1	0	1	1	0	1
663	1	1	0	1	1	0	0
664	0	1	1	0	1	0	0
665	1	1	0	0	1	1	0
666	1	1	1	0	1	1	0
667	1	1	0	1	1	1	1
668	1	0	0	1	0	0	1
669	1	1	0	1	1	0	1
670	1	1	0	1	1	0	0
671	0	1	1	0	0	0	0
672	0	1	1	1	1	0	1
673	1	1	0	0	0	0	1
674	0	1	1	0	1	0	0
675	1	1	0	0	1	0	0
676	0	1	1	0	1	1	0
677	1	1	0	1	1	0	1
678	0	1	1	0	1	0	0
679	0	1	1	0	0	0	1
680	0	1	1	0	1	1	0
681	1	0	1	0	1	0	1
682	1	1	0	1	1	0	1
683	1	1	0	0	1	0	0
684	1	0	1	0	0	0	1
685	1	1	0	1	1	0	0
686	1	1	0	1	1	0	1
687	1	1	0	1	1	0	1
688	0	1	1	1	1	1	1
689	1	1	0	0	1	1	1
690	1	0	1	0	1	0	0
691	1	1	0	1	1	0	1
692	0	1	1	0	1	0	1
693	1	1	1	0	0	1	0
694	1	1	0	1	1	1	0
695	1	1	0	0	1	1	0
696	1	1	0	1	1	0	1
697	1	1	0	1	1	0	1
698	0	1	0	1	1	0	1
699	0	1	1	0	1	0	1
700	1	1	0	1	1	0	1
701	1	1	0	0	1	0	1
702	1	1	0	1	1	0	0
703	0	1	0	0	1	0	0
704	0	1	1	0	0	1	0
705	0	1	1	0	1	1	0
706	1	1	0	0	1	0	1
707	0	1	1	0	0	1	0
708	1	1	0	1	1	1	0
709	1	1	0	1	1	0	1
710	1	1	0	1	1	1	0
711	1	0	1	0	1	0	1
712	1	1	0	1	1	0	1
713	1	1	0	0	1	1	0
714	1	0	0	0	1	0	1
715	1	1	0	0	1	0	0
716	1	0	1	0	1	0	1
717	1	1	0	0	1	0	1
718	1	0	0	1	1	0	0
719	1	1	0	1	1	0	1
720	1	1	0	0	0	1	0
721	1	0	0	1	1	0	0
722	1	1	0	1	1	1	0
723	1	1	0	1	1	1	1
724	1	1	0	1	1	0	1
725	1	0	0	0	1	1	1
726	1	0	0	0	1	0	1
727	1	1	0	0	1	1	0
728	1	1	0	1	1	0	1
729	1	0	1	0	1	0	0
730	1	1	1	0	0	0	1
731	1	1	0	1	1	0	0
732	1	1	0	1	1	0	1
733	1	1	0	1	1	0	0
734	1	1	0	1	1	0	1
735	0	1	1	0	1	1	0
736	1	1	0	1	1	0	1
737	1	0	1	0	1	0	1
738	1	0	0	1	1	0	0
739	1	1	0	1	0	0	1
740	1	1	0	1	1	0	1
741	1	1	0	0	1	1	0
742	1	1	0	1	1	1	0
743	1	1	0	1	1	0	1
744	1	1	0	0	1	0	1
745	0	1	0	0	1	0	1
746	0	1	0	1	1	1	0
747	0	0	1	0	1	0	0
748	0	0	1	0	0	0	0
749	1	1	0	0	1	1	0
750	0	1	1	1	0	0	1
751	1	1	1	0	1	1	0
752	1	0	0	1	1	0	1
753	0	0	1	1	1	1	0
754	1	0	0	0	1	0	1
755	1	1	0	0	1	0	1
756	1	1	0	1	1	0	1
757	0	1	1	0	1	1	0
758	1	0	1	0	1	1	0
759	0	1	0	1	0	0	1
760	1	1	0	1	0	0	1
761	1	1	0	1	1	0	1
762	1	1	0	1	1	0	0
763	1	1	0	0	1	0	0
764	0	1	0	1	1	1	0
765	0	0	1	0	1	1	0
766	0	1	0	1	1	0	1
767	1	1	0	0	1	0	1
768	1	0	1	0	1	0	0
769	1	0	1	1	1	0	0
770	1	0	0	1	1	0	1
771	1	1	1	0	1	0	1
772	1	1	0	0	1	0	1
773	0	1	1	0	1	0	0
774	1	1	0	0	1	0	1
775	1	1	0	1	1	0	1
776	1	1	0	1	1	0	1
777	1	0	0	0	1	1	0
778	1	0	1	0	1	0	1
779	1	1	0	0	1	1	1
780	1	1	0	1	1	1	0
781	0	0	1	0	1	1	0
782	1	1	0	1	1	0	0
783	1	1	0	0	0	0	0
784	0	1	1	0	0	0	1
785	1	1	0	1	1	1	0
786	1	1	0	1	1	0	1
787	1	1	0	1	0	0	1
788	1	1	0	1	0	0	1
789	1	1	0	1	1	1	0
790	1	1	1	0	1	0	1
791	1	1	0	0	1	0	0
792	0	1	1	0	0	0	1
793	0	1	1	0	1	1	0
794	1	1	0	1	1	1	0
795	0	0	1	1	1	0	1
796	0	1	1	0	1	0	0
797	1	1	0	1	1	0	1
798	1	1	0	1	1	1	0
799	1	1	0	1	1	1	0
800	1	1	1	0	0	1	0
801	1	1	0	1	1	0	1
802	0	1	0	0	1	1	0
803	1	1	0	0	1	1	0
804	1	1	0	1	1	1	0
805	1	1	0	0	1	0	1
806	0	1	1	0	1	0	0
807	1	1	0	0	1	0	1
808	1	1	0	1	0	0	1
809	1	1	0	0	1	0	1
810	1	1	0	1	1	1	0
811	1	0	0	1	1	0	1
812	1	1	0	0	1	0	1
813	1	1	0	0	1	0	1
814	0	1	1	0	1	1	0
815	1	0	0	1	1	0	1
816	1	1	0	1	1	1	0
817	1	1	0	1	1	0	1
818	1	1	0	0	1	0	1
819	1	1	1	0	1	0	1
820	1	1	0	1	1	1	0
821	1	1	0	1	1	0	1
822	0	1	1	0	0	0	1
823	1	1	0	0	1	0	1
824	1	1	0	1	1	0	1
825	1	0	1	0	1	0	0
826	1	1	0	1	1	0	0
827	1	1	0	1	1	0	1
828	1	1	0	1	1	1	0
829	1	1	0	1	0	0	0
830	0	1	0	1	1	1	0
831	0	1	1	0	0	0	0
832	1	1	0	1	0	0	0
833	1	0	0	1	0	0	1
834	1	1	0	0	1	1	0
835	1	1	1	0	1	0	0
836	1	0	1	0	0	0	0
837	0	0	1	1	1	1	0
838	1	1	0	1	1	1	0
839	0	1	1	0	1	1	0
840	1	0	1	0	1	0	1
841	1	0	1	0	0	0	1
842	1	1	0	1	1	1	0
843	1	1	0	1	1	0	1
844	1	1	0	1	1	0	1
845	1	1	0	1	1	1	0
846	0	0	1	0	1	0	1
847	1	0	0	0	1	1	0
848	1	1	0	0	1	1	0
849	1	0	1	1	1	1	0
850	1	1	0	0	1	0	1
851	1	0	0	1	1	0	1
852	0	1	1	0	1	0	0
853	1	1	0	1	1	0	1
854	1	1	0	1	1	0	1
855	1	0	0	1	1	1	0
856	1	1	0	1	1	0	0
857	1	1	0	1	1	1	0
858	1	1	1	0	1	1	0
859	0	1	1	0	0	0	1
860	1	1	0	1	1	0	1
861	1	0	0	1	1	0	1
862	0	1	1	0	1	0	1
863	1	1	0	0	1	0	1
864	1	1	0	1	1	0	1
865	1	0	0	1	1	1	0
866	0	1	1	0	0	0	1
867	1	1	0	0	0	0	1
868	0	1	0	1	1	1	0
869	1	1	1	0	1	1	1
870	1	1	0	1	1	1	0
